Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Rafael Lacerda,CHA,Técnico,8.13,4.15,0.41,4
Eduardo Doma,CHA,Zagueiro,4.18,2.37,0.16,19
João Paulo,CHA,Zagueiro,4.8,3.3,0.0,6
Kauan,CHA,Zagueiro,0.64,-1.05,-0.03,2
Luciano,CHA,Zagueiro,1.0,0.0,0.0,0
Rafael Thyere,CHA,Zagueiro,2.75,-0.1,0.0,3
Victor Caetano,CHA,Zagueiro,3.16,1.48,-0.03,8
Vinicius,CHA,Zagueiro,1.63,0.1,0.0,2
Gui Negão,COR,Atacante,3.63,1.48,-0.34,5
Kaio César,COR,Atacante,10.09,6.15,-0.1,11
Kayke,COR,Atacante,3.64,1.65,0.0,6
